"";"Df";"Sum Sq";"Mean Sq";"F value";"Pr(>F)"
"x1_ISO";1;9681,96289660434;9681,96289660434;128,139776197806;4,01073473804754e-19
"x2_T";1;9094,03699851339;9094,03699851339;120,358637826713;2,12677469364414e-18
"x3_MP";1;1539,67242202655;1539,67242202655;20,3774050451703;1,87843352896271e-05
"x4_CF";1;14,6010310117295;14,6010310117295;0,193243133244854;0,661261867680205
"x5_F";1;1382,92421897382;1382,92421897382;18,3028588118202;4,60660551007685e-05
"x6_GSI";1;3238,63784234442;3238,63784234442;42,8630364251147;3,29245443783461e-09
"x7_UA";1;9,529889067428;9,529889067428;0,126127094818596;0,723294786921561
"Residuals";92;6951,31997977415;75,5578258671103;NA;NA
