"Variabile","Nome_R","Intercetta","Beta1","Errore_std_Beta1","t_value","p_value_Beta1","R2","R2_corretto","Errore_standard_residuo","F_statistic","p_value_F","Significativa_5percento"
"Tempo di esposizione","x2_T",121.478736105466,-10.6059019928107,1.48630328710889,-7.13575895633047,1.68178644308652e-10,0.341924380200924,0.335209322856036,14.6388357348961,50.9190558828505,1.68178644308657e-10,"Sì"
"ISO","x1_ISO",118.742510704505,-10.2785004505599,1.57330093956213,-6.53307971291275,2.89250787029315e-09,0.303389163655967,0.296280889815722,15.0613447585477,42.6811305352721,2.89250787029315e-09,"Sì"
"Focale","x5_F",119.958151668496,-4.33029686859661,1.76009880687527,-2.4602578285274,0.0156341481436952,0.0581710880754044,0.0485605889741332,17.5127620090724,6.05286858283031,0.0156341481436955,"Sì"
"Ground Sampling Interval","x6_GSI",120.358573223345,-3.3478606975725,1.84016702569029,-1.81932436068766,0.0719153894488562,0.0326714347327888,0.022800735087205,17.748254316025,3.30994112939159,0.0719153894488554,"No"
"Megapixel","x3_MP",119.701807478027,2.97520897490364,1.70848169886117,1.74143450110519,0.0847454164327277,0.0300159977876874,0.0201182018467455,17.7725982009461,3.03259412163945,0.0847454164327285,"No"
"Altitudine UAV","x7_UA",120.228555045364,-2.78456316070989,1.79350316188042,-1.55258335747252,0.123746283572638,0.0240066001049241,0.0140474837794643,17.8275669945324,2.41051508190064,0.123746283572639,"No"
"Crop Factor","x4_CF",120.002956156217,1.37198170972569,1.85962287955484,0.737774160992316,0.462414636647735,0.00552351230316298,-0.00462420695904964,17.9955819885797,0.544310712627916,0.462414636647735,"No"
