"Variabile","Nome_R","Intercetta","Beta1","Errore_std_Beta1","t_value","p_value_Beta1","R2","R2_corretto","Errore_standard_residuo","F_statistic","p_value_F","Significativa_5percento"
"Tempo di esposizione","x2_T",121.4787,-10.6059,1.4863,-7.1358,0,0.3419,0.3352,14.6388,50.9191,0,"Sì"
"ISO","x1_ISO",118.7425,-10.2785,1.5733,-6.5331,0,0.3034,0.2963,15.0613,42.6811,0,"Sì"
"Focale","x5_F",119.9582,-4.3303,1.7601,-2.4603,0.015634,0.0582,0.0486,17.5128,6.0529,0.015634,"Sì"
"Ground Sampling Interval","x6_GSI",120.3586,-3.3479,1.8402,-1.8193,0.071915,0.0327,0.0228,17.7483,3.3099,0.071915,"No"
"Megapixel","x3_MP",119.7018,2.9752,1.7085,1.7414,0.084745,0.03,0.0201,17.7726,3.0326,0.084745,"No"
"Altitudine UAV","x7_UA",120.2286,-2.7846,1.7935,-1.5526,0.123746,0.024,0.014,17.8276,2.4105,0.123746,"No"
"Crop Factor","x4_CF",120.003,1.372,1.8596,0.7378,0.462415,0.0055,-0.0046,17.9956,0.5443,0.462415,"No"
