"";"Estimate";"Std. Error";"t value";"Pr(>|t|)";"2.5 %";"97.5 %"
"(Intercept)";120,674540299048;0,90086631527675;133,953882227217;2,96577632003433e-107;118,885342036875;122,463738561222
"x1_ISO";-9,90792226995204;0,936748976884528;-10,5769235029262;1,41033358934753e-17;-11,7683865953604;-8,04745794454371
"x2_T";-10,3913360628388;0,894298509768064;-11,6195386096906;9,64840858196515e-20;-12,1674900963589;-8,61518202931864
"x3_MP";4,00766040186455;0,863118495040709;4,643233142253;1,13684538360132e-05;2,29343256895675;5,72188823477236
"x4_CF";-0,875165311055599;0,954609311882164;-0,916778518879175;0,361655709755316;-2,7711018034189;1,0207711813077
"x5_F";-4,06270024775322;0,913219968183693;-4,44876414149544;2,4150087892167e-05;-5,8764339309294;-2,24896656457704
"x6_GSI";-6,1969709403587;0,945242657392875;-6,55595776586184;3,16034185132477e-09;-8,07430444840521;-4,31963743231218
"x7_UA";-0,3199509997578;0,90090557689828;-0,355143766408192;0,723294786921561;-2,10922723890044;1,46932523938484
